X,Y,AddSystem,UTAddPtID,FullAdd,AddNum,AddNumSuff,PrefixDir,StreetName,StreetType,SuffixDir,LandmarkNa,Building,UnitType,UnitID,City,ZipCode,CountyID,State,PtLocation,PtType,Structure,ParcelID,AddSource,LoadDate
-111.660138912797947,40.240211414018525,PROVO,PROVO | 85 W 500 N,85 W 500 N,85,,W,500,,N,,,,,PROVO,84601,49049,UT,,,,41050013,UTAH COUNTY,2013/06/19
-111.660051950110869,40.240239118194047,PROVO,PROVO | 77 W 500 N,77 W 500 N,77,,W,500,,N,,,,,PROVO,84601,49049,UT,,,,41050013,UTAH COUNTY,2013/06/19
-111.639033390674868,40.227491110540704,PROVO,PROVO | 1131 E 460 S,1131 E 460 S,1131,,E,460,,S,,,,,PROVO,84606,49049,UT,,,,550060086,UTAH COUNTY,2013/06/19
-111.643989130061755,40.227773744467967,PROVO,PROVO | 473 S STATE ST,473 S STATE ST,473,,S,STATE,ST,,,,,,PROVO,84606,49049,UT,,,,220290018,UTAH COUNTY,2013/06/19
-111.644521335938549,40.228044215827119,PROVO,PROVO | 413 S STATE ST,413 S STATE ST,413,,S,STATE,ST,,,,,,PROVO,84606,49049,UT,,,,220290018,UTAH COUNTY,2013/06/19
-111.643621375875767,40.227951112083879,PROVO,PROVO | 443 S STATE ST,443 S STATE ST,443,,S,STATE,ST,,,,,,PROVO,84606,49049,UT,,,,220290018,UTAH COUNTY,2013/06/19
-111.644450146268753,40.23020640568744,PROVO,PROVO | 252 S 850 E,252 S 850 E,252,,S,850,,E,,,,,PROVO,84606,49049,UT,,,,220300043,UTAH COUNTY,2013/06/19
-111.644427317982348,40.230203829991886,PROVO,PROVO | 250 S 850 E,250 S 850 E,250,,S,850,,E,,,,,PROVO,84606,49049,UT,,,,220300043,UTAH COUNTY,2013/06/19
-111.64551786314469,40.229443940591239,PROVO,PROVO | 325 S STATE ST,325 S STATE ST,325,,S,STATE,ST,,,,,,PROVO,84606,49049,UT,,,,220300076,UTAH COUNTY,2013/06/19
-111.636452040341254,40.227211538972043,PROVO,PROVO | 472 S 1300 E,472 S 1300 E,472,,S,1300,,E,,,,,PROVO,84606,49049,UT,,,,550060034,UTAH COUNTY,2013/06/19
-111.645310326724783,40.226823196600272,PROVO,PROVO | 762 E 500 S,762 E 500 S,762,,E,500,,S,,,,,PROVO,84606,49049,UT,,,,220290034,UTAH COUNTY,2013/06/19
-111.645508135955652,40.227936460305571,PROVO,PROVO | 428 S STATE ST,428 S STATE ST,428,,S,STATE,ST,,,,,,PROVO,84606,49049,UT,,,,220290007,UTAH COUNTY,2013/06/19
-111.645495984349594,40.227906977405048,PROVO,PROVO | 430 S STATE ST,430 S STATE ST,430,,S,STATE,ST,,,,,,PROVO,84606,49049,UT,,,,220290007,UTAH COUNTY,2013/06/19
-111.638961949975482,40.225767474763579,PROVO,PROVO | 588 S IDAHO AVE,588 S IDAHO AVE,588,,S,IDAHO,AVE,,,,,,PROVO,84606,49049,UT,,,,410330015,UTAH COUNTY,2013/06/19
-111.636733642849649,40.29199869468259,PROVO,PROVO | 4358 N CHURCHILL DR,4358 N CHURCHILL DR,4358,,N,CHURCHILL,DR,,,,,,PROVO,84604,49049,UT,,,,521170089,UTAH COUNTY,2013/06/19
-111.634575502434188,40.290397444244533,PROVO,PROVO | 4261 N MILE HIGH DR,4261 N MILE HIGH DR,4261,,N,MILE HIGH,DR,,,,,,PROVO,84604,49049,UT,,,,521660067,UTAH COUNTY,2013/06/19
-111.634751958880926,40.290835587517272,PROVO,PROVO | 4284 N IMPERIAL WAY,4284 N IMPERIAL WAY,4284,,N,IMPERIAL,WAY,,,,,,PROVO,84604,49049,UT,,,,521660066,UTAH COUNTY,2013/06/19
-111.634593310394209,40.290854836677099,PROVO,PROVO | 4283 N MILE HIGH DR,4283 N MILE HIGH DR,4283,,N,MILE HIGH,DR,,,,,,PROVO,84604,49049,UT,,,,521660066,UTAH COUNTY,2013/06/19
-111.64020146272469,40.293856815839057,PROVO,PROVO | 4497 N WIMBLEDON DR,4497 N WIMBLEDON DR,4497,,N,WIMBLEDON,DR,,,,,,PROVO,84604,49049,UT,,,,521310008,UTAH COUNTY,2013/06/19
-111.63581483918459,40.291993026569223,PROVO,PROVO | 4355 N IMPERIAL WAY,4355 N IMPERIAL WAY,4355,,N,IMPERIAL,WAY,,,,,,PROVO,84604,49049,UT,,,,521660051,UTAH COUNTY,2013/06/19
-111.638773699237461,40.291519328562849,PROVO,PROVO | 4304 N WINDSOR DR,4304 N WINDSOR DR,4304,,N,WINDSOR,DR,,,,,,PROVO,84604,49049,UT,,,,521170077,UTAH COUNTY,2013/06/19
-111.64059296306867,40.295158827857222,PROVO,PROVO | 4591 N VICTORIA CIR,4591 N VICTORIA CIR,4591,,N,VICTORIA,CIR,,,,,,PROVO,84604,49049,UT,,,,521310013,UTAH COUNTY,2013/06/19
-111.639727877465418,40.2955764182677,PROVO,PROVO | 4621 N BRISTOL CIR,4621 N BRISTOL CIR,4621,,N,BRISTOL,CIR,,,,,,PROVO,84604,49049,UT,,,,521310061,UTAH COUNTY,2013/06/19
-111.637643819686275,40.295279806754692,PROVO,PROVO | 4600 N WINDSOR DR,4600 N WINDSOR DR,4600,,N,WINDSOR,DR,,,,,,PROVO,84604,49049,UT,,,,521310036,UTAH COUNTY,2013/06/19
-111.629655018242687,40.246577898615136,PROVO,PROVO | 943 N TERRACE DR,943 N TERRACE DR,943,,N,TERRACE,DR,,,,,,PROVO,84604,49049,UT,,,,483850001,UTAH COUNTY,2013/06/19
-111.634222678125255,40.245119122328845,PROVO,PROVO | 1516 E 820 N,1516 E 820 N,1516,,E,820,,N,,,,,PROVO,84606,49049,UT,,,,220060066,UTAH COUNTY,2013/06/19
